USA ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Column1.state,Column1.code,Column1.pop2026,Column1.densityMi,Area square miles,No of 3o mile radius areas,Ca;ifornia as Control Density,
California,CA,39896400,256.10897,155779.0029767407,55.103998223113095,1,
Texas,TX,32416700,124.09161,261232.00432325763,92.40608571745936,0.48452660599900116,
Florida,FL,24306900,453.27552,53625.00052947929,18.96887178262444,1.7698541366981406,
New York,NY,20127000,427.08908,47126.0000372756,16.669968177317156,1.667606878431474,
Pennsylvania,PA,13200800,295.0361,44742.99924653288,15.827024848437524,1.1519944030074385,
Illinois,IL,12846000,231.38025,55518.99956889147,19.6388396069655,0.9034445376903433,
Ohio,OH,12001800,293.72262,40861.000082322564,14.453838019923086,1.1468658048173792,
Georgia,GA,11413800,198.456,57513.00036280083,20.34418123905229,0.774888907639588,
North Carolina,NC,11375700,233.98124,48618.000314897035,17.19773622741317,0.9136003319212131,
Michigan,MI,10254700,181.37392,56538.999653312894,19.99964614549448,0.7081904237871871,
New Jersey,NJ,9743270,1324.89394,7353.999973763938,2.6013441718301866,5.1731649227280085,
Virginia,VA,8964220,226.99975,39489.99943832537,13.968871396648522,0.8863404901437072,
Washington,WA,8159900,122.78651,66455.99748702036,23.507604346310703,0.47943072825602323,
Arizona,AZ,7801100,68.67528,113594.00354829278,40.18181943696243,0.2681486712472429,
Tennessee,TN,7386640,179.1352,41235.00015630652,14.586133765937928,0.6994491446355823,
Massachusetts,MA,7275380,932.74103,7799.999963548295,2.7591085827903417,3.6419693929501964,
Indiana,IN,7012560,195.73941,35825.999475527184,12.67279783357877,0.7642817430408626,
Maryland,MD,6355540,654.73782,9706.999971377856,3.433675264017636,2.5564814071135427,
Missouri,MO,6320320,91.94263,68741.9970475067,24.31623524849901,0.3589980858538457,
Colorado,CO,6069800,58.56506,103642.00087902241,36.66147891016003,0.22867242799031992,
Wisconsin,WI,6022120,111.19539,54158.00061495355,19.15741090023118,0.43417218069324165,
Minnesota,MN,5873360,73.76091,79627.00026341867,28.166607804534372,0.288005960900159,
South Carolina,SC,5660830,188.31143,30061.000545744886,10.633533974441063,0.7352785417863341,
Alabama,AL,5237750,103.42087,50645.00037564952,17.91475075190998,0.4038158835280154,
Kentucky,KY,4663930,118.11604,39486.00037725613,13.96745680129329,0.46119446733942976,
Louisiana,LA,4617080,106.86696,43203.99869145711,15.282631302248713,0.4172714450415384,
Oregon,OR,4309810,44.89947,95987.99273131731,33.95401228557386,0.1753139298479081,
Oklahoma,OK,4158420,60.62279,68594.99538045016,24.264236073735464,0.23670701576754613,
Connecticut,CT,3739160,772.23461,4842.000023801057,1.7127697289710142,3.0152579583604586,
Utah,UT,3624400,44.10856,82169.99149371461,29.06614485097793,0.1722257521866571,
Nevada,NV,3373680,30.731,109781.00289609839,38.83303958121627,0.11999189251356562,
Iowa,IA,3287640,58.85816,55856.99586939177,19.75839967081421,0.22981686272058335,
Arkansas,AR,3126140,60.07764,52035.00004327733,18.40643793536517,0.23457842964266346,
Kansas,KS,3008820,36.80109,81758.99137770104,28.920761010859934,0.14369309282685414,
Mississippi,MS,2942790,62.7153,46922.999650802914,16.598160470747406,0.24487740511392475,
New Mexico,NM,2148440,17.71208,121298.00678407053,42.90697091760542,0.06915837426545428,
Idaho,ID,2062610,24.95807,82643.00885445069,29.233466167120866,0.09745097955764688,
Nebraska,NE,2040670,26.56292,76824.00880626077,27.175100391319692,0.10371725754080381,
West Virginia,WV,1768950,73.58973,24038.000954752788,8.503007058632043,0.2873375735336408,
Hawaii,HI,1455660,226.63241,6423.000134888033,2.2720198566989858,0.8849061788034991,
New Hampshire,NH,1422700,158.90763,8952.99992832314,3.1669614178716445,0.6204688184096012,
Maine,ME,1415740,45.9015,30843.000773395204,10.910152378279166,0.17922644411868902,
Montana,MT,1149100,7.8951,145545.97155197526,51.48424886875672,0.030827112381108714,
Rhode Island,RI,1130070,1092.91103,1033.9999954067625,0.3657587532390387,4.267367246059363,
Delaware,DE,1082900,555.61827,1948.9999851876719,0.6894234118102837,2.16946040585771,
South Dakota,SD,937397,12.36492,75811.00403399294,26.816768317648723,0.0482799177240844,
North Dakota,ND,811610,11.76229,69001.01935932544,24.407859695551977,0.04592689588342025,
Alaska,AK,747379,1.30972,570640.2895275326,201.85365742042188,0.005113916939340313,
Vermont,VT,648063,70.31171,9216.99955811059,3.260346500923449,0.27453825611808913,
Wyoming,WY,592720,6.10466,97093.04039864628,34.3449028647493,0.02383618191896988,
,,,,,,,
,,,,,,Totals,
China,,,,,,,
Column1.state,Column1.code,Column1.pop2026,Column1.densityMi,Area square miles,No of 3o mile radius areas,Guangdong  as Control Density,
Guangdong,,111456400,1606,69400,63,1,
Sichuan,,87281800,466,187300,170,0.2901618929016189,
Xinjiang,,21855200,34,642800,585,0.021170610211706103,
Beijing (Municipality),,22157648,3496,6338,6,2.1768368617683684,
Shanghai (Municipality),,24727248,10101,2448,2,6.289539227895392,
Chongqing (Municipality),,32118000,1010,31800,29,0.6288916562889165,
Tibet (Xizang),,2371500,5,474300,432,0.00311332503113325,
Shandong,,99062400,1632,60700,55,1.016189290161893,
Yunnan,,47334200,311,152200,139,0.19364881693648817,
Hong Kong (SAR),,7935213,18497,429,0.4,11.517434620174345,
Henan,,95202000,1476,64500,59,0.9190535491905355,
Hebei,,73225000,1010,72500,66,0.6288916562889165,
Hunan,,67812200,829,81800,75,0.5161892901618929,
Anhui,,80807600,1502,53800,49,0.9352428393524284,
